year,month,prefectures,Infected
2021,3,Kyoto,285548
2021,3,Mie,81245
2021,3,Miyagi,136741
2021,3,Miyazaki,60564
2021,3,Nagano,77280
2021,3,Nagasaki,50116
2021,3,Nara,108312
2021,3,Niigata,38111
2021,3,Oita,40291
2021,3,Okayama,80091
2021,3,Okinawa,268231
2021,3,Osaka,1514428
2021,3,Saga,35182
2021,3,Saitama,963693
2021,3,Shiga,81936
2021,3,Shimane,8829
2021,3,Shizuoka,167998
2021,3,Tochigi,134216
2021,3,Tokushima,14735
2021,3,Tokyo,3599748
2021,3,Tottori,6568
2021,3,Toyama,28421
2021,3,Wakayama,37097
2021,3,Yamagata,19804
2021,3,Yamaguchi,43238
2021,3,Yamanashi,29449
2021,4,Aichi,891277
2021,4,Akita,10808
2021,4,Aomori,38353
2021,4,Chiba,939813
2021,4,Ehime,55872
2021,4,Fukui,21620
2021,4,Fukuoka,607067
2021,4,Fukushima,88020
2021,4,Gifu,159617
2021,4,Gunma,162934
2021,4,Hiroshima,162421
2021,4,Hokkaido,668701
2021,4,Hyogo,751196
2021,4,Ibaraki,220989
2021,4,Ishikawa,64673
2021,4,Iwate,23245
2021,4,Kagawa,31229
2021,4,Kagoshima,58518
2021,4,Kanagawa,1515915
2021,4,Kochi,28859
2021,4,Kumamoto,110013
2021,4,Kyoto,320132
2021,4,Mie,95130
2021,4,Miyagi,219169
2021,4,Miyazaki,61326
2021,4,Nagano,100827
2021,4,Nagasaki,53217
2021,4,Nara,147482
2021,4,Niigata,56195
2021,4,Oita,43312
2021,4,Okayama,95105
2021,4,Okinawa,333411
2021,4,Osaka,1968258
2021,4,Saga,40577
2021,4,Saitama,1055212
2021,4,Shiga,95207
2021,4,Shimane,9165
2021,4,Shizuoka,182312
2021,4,Tochigi,150449
2021,4,Tokushima,25802
2021,4,Tokyo,3873404
2021,4,Tottori,9592
2021,4,Toyama,33300
2021,4,Wakayama,51186
2021,4,Yamagata,38053
2021,4,Yamaguchi,46793
2021,4,Yamanashi,31744
2021,5,Aichi,424223
2021,5,Akita,6672
2021,5,Aomori,20652
2021,5,Chiba,408929
2021,5,Ehime,29567
2021,5,Fukui,11152
2021,5,Fukuoka,306639
2021,5,Fukushima,44513
2021,5,Gifu,77083
2021,5,Gunma,76857
2021,5,Hiroshima,78145
2021,5,Hokkaido,310836
2021,5,Hyogo,410548
2021,5,Ibaraki,101526
2021,5,Ishikawa,32818
2021,5,Iwate,12548
2021,5,Kagawa,17426
2021,5,Kagoshima,29237
2021,5,Kanagawa,661192
2021,5,Kochi,13221
2021,5,Kumamoto,53283
2021,5,Kyoto,157569
2021,5,Mie,48387
2021,5,Miyagi,98964
2021,5,Miyazaki,28983
2021,5,Nagano,48349
2021,5,Nagasaki,28176
2021,5,Nara,80481
2021,5,Niigata,29824
2021,5,Oita,26665
2021,5,Okayama,55932
2021,5,Okinawa,154937
2021,5,Osaka,1047382
2021,5,Saga,21928
2021,5,Saitama,471101
2021,5,Shiga,48401
2021,5,Shimane,4433
